"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"Akropolis Griechische Spezialitäten","4.3","253","€20–30","Süderende 12","Erfde","Greek restaurant","92",
"Frischezeiten Heide","4.7","312","€1–10","Schanzenstraße 3","Heide","Sandwich shop","85",
"Alter Bahnhof - Delve",,"0",,"Schulstraße 2","Delve","Restaurant","88","Now: Usually not too busy"
"McDonald's","3.7","2529","€10–20","Süderdamm 4","Heide","Fast food restaurant","83","A little busy"
"Bauernschänke","4.6","28","€10–20","Schüttingdeich 1","Tielenhemme","Restaurant","81",
"Rosengasse Heide / Restaurant - Café - Musikkneipe","4.4","358","€10–20","Lüttenheid 24","Heide","Restaurant","84","Now: Usually not busy"
"CENNET IN KAUFLAND","2.7","36","€1–10","Marschstraße 1 EKZ","Heide","Kebab Shop","82",
"Restaurant Fellbacher Tröpfle","4.4","708","€20–30","Kleinfeldstraße 29","Fellbach","German restaurant","140",
"Ristorante Da Peppone","4.5","1003","€20–30","Bopseräcker 1","Stuttgart","Restaurant","139",
"Ozan Pizza-Kebap","4.1","339","€1–10","Hirschlandstraße 1","Esslingen","Doner kebab restaurant","138","As busy as it gets"
"Gasthof Lamm Restaurant Wintergarten Partyservice","4.4","273","€20–30","Hauptstraße 44","Kernen","German restaurant","137","Now: Usually not busy"
"Panorama Restaurant Fellbach","4.6","958","$$","Auf dem Kappelberg 3","Fellbach","Restaurant","136",
"Restaurant Schillerhöhe","4.4","990","€20–30","Finkenweg 2","Gerlingen","German restaurant","134",
"Istanbul Kebap","4.1","170","€1–10","Königstraße 15","Ehningen","Turkish restaurant","135","Now: Usually not too busy"
"WOODY's Restaurant",,"0",,"Guts-Muths-Weg 10","Stuttgart","Turkish restaurant","133",
"Restaurant Glemshof","4.5","189","$$","Glemseckstraße 35","Leonberg","Restaurant","132",
"nordica Hotel Berlin","3.9","586","$134","Österstraße 18","Heide","Hotel","86",
"Bella Napoli","4.6","777","€10–30","Adlerstraße 20","Stuttgart","Italian restaurant","130",
"Delhi-cious Indian Restaurant","4.8","487","€10–20","Wilhelm-Geiger-Platz 8","Stuttgart","Restaurant","129",
"Sai Gon Asian Street Food","4.4","184","€10–20","Bahnhofstraße 20","Stuttgart","Vietnamese restaurant","127",
"Mardin Kebab","4.4","238","€1–10","Hamburger Str. 145","Heide","Kebab Shop","94",
"Hotel Restaurant Rössle","4.6","364","€20–40","Waiblinger Str. 2-4","Weinstadt","Restaurant","131","Not busy"
"LE Populair Restaurant Bar Cafe","4.6","297","€30–40","Hauptstraße 12","Leinfelden-Echterdingen","Restaurant","126",
"Restaurant Krone","4.8","52","€40–50","Stuttgarter Str. 45-47","Steinenbronn","Restaurant","125",
"Puro Gusto","2.9","18",,"Flughafenstraße 32 Terminal 3 Ebene 2 Landseite","Leinfelden-Echterdingen","Restaurant","122",
"Ristorante Marcellino","4.3","773","€20–30","Rathauspl. 6","Stuttgart","Italian restaurant","123",
"Gravity","4.4","130","€10–20","Tunzhofer Str. 3","Stuttgart","Asian restaurant","128",
"Bürger Frech","4.7","268",,"Kirchenstraße 7","Hennstedt","Hamburger restaurant","80",
"Jagdhütte","4.5","14",,"Schulstraße 15","Pahlen","Restaurant","79",
"Yuícery Milaneo","4.3","366","€10–20","Mailänder Platz 7, | 1/EG","Stuttgart","Vegan restaurant","124",
"Gasthof ""Zur Eiche"" Dellstedt","4.5","90","£","Teichstraße 1","Dellstedt","Hamburger restaurant","77",
"Energetic life Restaurant","4.5","736","€20–30","Schulstraße 8","Stuttgart","Vegan restaurant","121","Busier than usual"
"Cafè Ele’s alte Werft","4.7","718","€10–20","Am Eiderdeich 21","Tönning","Cafe","75","Now: Usually a little busy"
"Brasserie Conrad","4.6","330","€10–20","Weddingstedter Str. 3","Heide","Brasserie","74",
"Abu Bistro","3.8","170","€1–10","Bahnhofstraße 44","Tellingstedt","Restaurant","78",
"Gastronomie Hansen","4.7","56",,"Schanzenstraße 5","Heide","Caterer","72",
"Dörpshus","4.5","263",,"Loher Weg 124","Lohe-Rickelshof","Restaurant","70",
"Lieferservice Tripoli Heide","3.3","411","€10–20","Am Kleinbahnhof 12-14","Heide","Pizza delivery","76","Now: Usually not too busy"
"Dithmarscher Hof","4.6","143","€20–30","Hauptstraße 19","Kleve","Restaurant","73",
"Yen-Yen Heide","3.7","724","€10–20","Bahnhofstraße 2","Heide","Chinese restaurant","67","Less busy than usual"
"Rancho Grande Heide","4.5","898","€20–30","Markt 46","Heide","Steak house","71",
"Döner Pizza Burger","4.2","145","€1–10","Tellingstedter Str. 1","Hennstedt","Doner kebab restaurant","65","Now: Usually a little busy"
"Ukrainisches Restaurant Hutorok","4.6","61","€10–20","Dorfstraße 36","Strübbel","Ukrainian restaurant","64",
"Golfhotel Gut Apeldör","4.6","543","$164","Apeldör 2","Hennstedt","Hotel","69",
"Mardin Kebab","4.4","707","€1–10","Fritz-Thiedemann-Ring 40","Heide","Kebab shop","63","Now: Usually not busy"
"Asia Linh-Linh","3.9","562","€10–20","Markt","Heide","Vietnamese restaurant","66","Now: Usually not too busy"
"Babylon Döner","4.1","70","€1–10","Süderende 7","Erfde","Doner kebab restaurant","61","Now: Usually not too busy"
"Indian Palace","4.2","1845","€20–30","Steinstraße 11","Stuttgart","Indian restaurant","118","Not too busy"
"Restaurant Rhodos","4.5","1115","€20–30","Bahnhofstraße 25","Heide","Greek restaurant","68",
"Restaurant Kypros","4.6","518","€20–30","Meldorfer Str. 182","Heide","Greek restaurant","62",
"Restaurant Ev Zin","4.5","324","€20–30","Katharinenstraße 73","Esslingen","Greek restaurant","116","Not too busy"
"Super Jami Kitchen","4.8","497","€20–30","Bopserstraße 10","Stuttgart","Vegan restaurant","115",
"Injeera Restaurant","4.6","610","€20–30","Rotebühlpl. 33","Stuttgart","Eritrean restaurant","119",
"Restaurant & Catering - Asia World in Fellbach","4.6","2715","€20–30","Stuttgarter Str. 62-64","Fellbach","Asian restaurant","120","Not too busy"
"Griechisches Restaurant Hirsch","4.8","1275","€20–30","Maierstraße 3","Stuttgart","Greek restaurant","112",
"Brauereigaststätte Dinkelacker","4.5","639",,"Tübinger Str. 46","Stuttgart","Restaurant","117","Not too busy"
"Restaurant Amazonica (Wilhelma Stuttgart)","4.1","1122","€10–20","Pragstraße 9","Stuttgart","Salad shop","114",
"Restaurant Rössle","4.7","88","€10–20","Tiergartenstraße 4","Böblingen","Swabian restaurant","110",
"STEPHAN'S RESTAURANT & BRASSERIE","4.6","598","££","Bahnhofstraße 37","Leinfelden-Echterdingen","Swabian restaurant","109",
"Kashmir","4.6","1184","€20–30","Pforzheimer Str. 309","Stuttgart","Indian restaurant","108","Not too busy"
"China Restaurant Asia Sonnengarten","4.3","300","€10–20","Christophstraße 14","Stuttgart","Chinese restaurant","113","Not busy"
"Bar Restaurant Makeda","5","20","€20–30","Kolbstraße 17","Stuttgart","Restaurant","105",
"Restaurant “Zum Ackerbürger“ - Stuttgart","4.8","1242","£££","Spreuergasse 38","Stuttgart","German restaurant","111",
"Restaurant Raffaello","4.5","295","€20–30","Neckarstraße 60","Esslingen","Italian restaurant","104","Not busy"
"Restaurant Meister Lampe","4.7","223","€100+","Solitudestraße 261","Stuttgart","German restaurant","103",
"PS! Theatergastronomie, Catering & Service GmbH","4","550","€20–30","Siemensstraße 11","Stuttgart","German restaurant","107","Not busy"
"Komari Restaurant","4.5","673","€20–30","Albert-Roller-Straße 2","Waiblingen","Asian fusion restaurant","102","Not too busy"
"CAVOS Taverna","4.6","1314","$$","Lautenschlagerstraße 20","Stuttgart","Restaurant","106",
"Schwimmbad-Restaurant","3.8","244","€1–10","Dithmarscher Wasserwelt, Landvogt-Johannsen-Straße 61","Heide","Bistro","59",
"Asia Imbiss Hao-Nhi","4.4","231","€10–20","Süderstraße 9","Heide","Vietnamese restaurant","58","Now: Usually not too busy"
"Grill Maxx","4.2","413","€10–20","Markt 35","Heide","Kebab shop","57","Now: Usually as busy as it gets"
"Happy Diner","4","2",,"Friedrichstraße 28","Heide","Bistro","53",
"Evin City Döner","4.7","659","€1–10","Dithmarscher Str. 3A","Tönning","Kebab Shop","54","Not too busy"
"Tevhid Restaurant","4.4","1235","€10–20","Neckarstraße 160","Stuttgart","Turkish restaurant","101","Not too busy"
"Gaststätte Jägerstuben-Inh. Sascha Kulstrunk","4.6","199",,"Dorfstraße 28","Barkenholm","German restaurant","51",
"Oh Layla","4.3","336","€10–20","Friedrichstraße 44","Heide","Middle Eastern restaurant","48","Busier than usual"
"Croque Brasserie - Restaurant & Lieferservice","4.5","262","€1–20","Bahnhofstraße 2","Heide","Restaurant","56","Now: Usually not too busy"
"Tripoli Restaurant","3.8","767","€10–20","Am Kleinbahnhof 12-14","Heide","Italian restaurant","46","A little busy"
"Hotel Zum Goldenen Anker","4.5","891","£109","Am Hafen 32","Tönning","Hotel","44",
"Gastwirtschaft Dührsen","4.3","54","€20–30","Schulstraße 2","Delve","Restaurant","52","Now: Usually as busy as it gets"
"Urfa Kebap","4.8","560","€10–20","Hauptstraße 14","Tellingstedt","Restaurant","43","Not busy"
"EAT HAPPY","4.5","13",,"Hamburger Str. 145","Heide","Sushi takeaway","47","Now: Usually a little busy"
"Restaurant Délice","4.9","154","€100+","Hauptstätter Str. 61","Stuttgart","Fine dining restaurant","99",
"TAVERNE Diogenes","4.2","151","€20–30","Olgastraße 45","Stuttgart","Greek restaurant","98",
"CUBE Restaurant","4.3","1639","€100+","Kleiner Schloßplatz 1 KUNSTMUSEUM","Stuttgart","Restaurant","97",
"Restaurant Ochsen","4.7","371","€20–30","Ulmer Str. 323","Stuttgart","Restaurant","96",
"The Indian Food corner","4.7","384","€10–20","Schwieberdinger Str. 37","Stuttgart","Restaurant","94",
"Bistro Ali Baba","4.4","585","€10–20","Markt 65","Heide","Doner kebab restaurant","41","Busier than usual"
"Ristorante Cavallino","4.4","638","€20–30","Weimarstraße 35","Stuttgart","Italian restaurant","92","Busier than usual"
"Palm Tree African Restaurant","4.4","53","€10–20","Brückenstraße 15","Stuttgart","Restaurant","93",
"Restaurant Bootshaus","4.1","283","€20–30","Wagrainstraße 140","Stuttgart","Restaurant","95",
"Gecko Restaurant und Eventlocation SpVgg Cannstatt","4.7","1118","€20–30","Hofener Str. 115","Stuttgart","Swabian restaurant","90","Not too busy"
"Houstons Fine Burrito Company","4.5","508","€20–30","Mittlere Str. 8","Stuttgart","Restaurant","88",
"Restaurant Rhodos Lunden","4.5","919","€20–30","Wilhelmstraße 37","Lunden","Greek restaurant","45","Not too busy"
"Dedemoglu Restaurant","4","119","€1–10","Mailänder Platz 7","Stuttgart","Turkish restaurant","87",
"ALATURKA - Das Stuttgarter Original","4.6","3544","€10–20","Olgastraße 75","Stuttgart","Turkish restaurant","86","A little busy"
"Bab Tuma Restaurant","3.6","1070",,"Tübinger Str. 1","Stuttgart","Restaurant","84",
"Balkan Pizza&Burek","4.7","69","€1–10","Augsburger Str. 390","Stuttgart","Fast food restaurant","89",
"Sheng Sushi & Wok","4.5","180","€10–20","Neckarstraße 213","Stuttgart","Sushi restaurant","83",
"SCHWEIZERS RESTAURANT","4.9","221","€100+","Olgastraße 133, B","Stuttgart","Restaurant","82",
"Krua Thai Bolan II Thairestaurant","4.8","19","€10–30","Rötestraße 23","Stuttgart","Thai restaurant","80",
"Raman Restaurant","4.6","3121","€10–20","Charlottenstraße 40","Stuttgart","Persian restaurant","79","Busier than usual"
"HOBS Hut of Burger","4.7","802","€10–20","Wildunger Str. 5","Stuttgart","Hamburger restaurant","85","Not too busy"
"Ganesha Restaurant","4.5","1558","€10–20","Lembergstraße 19","Stuttgart","Indian restaurant","78","A little busy"
"Balthazar Bar & Restaurant","4.3","514","€20–30","Plieninger Str. 109a","Stuttgart","Restaurant","91",
"Das Nudel Ding","3.8","195","€10–20","Mailänder Platz 7","Stuttgart","Chinese restaurant","77","Now: Usually not too busy"
"Kaiso Restaurant","4.7","1045","€20–30","Hintere Str. 6","Leonberg","Asian restaurant","76","A little busy"
"Restaurant Mozaik","4.4","765","€10–20","Hafenstraße 22a","Heide","Turkish restaurant","37","Less busy than usual"
"Café Hafenblick","4.5","1685","€10–20","Am Hafen 38","Tönning","Cafe","40","Not too busy"
"Bistro Restaurant Deniz","4.1","255","€1–10","Meldorfer Str. 62","Heide","Turkish restaurant","33",
"Bar & Grill Bellevue","4.3","452","€30–40","Stresemannstraße 38","Stuttgart","Swabian restaurant","74",
"Nirvan - Das persische Restaurant","4.4","810","€20–30","Eberhardstraße 73","Stuttgart","Persian restaurant","81","Not too busy"
"Al Nada Restaurant مطعم الندى","4.5","754","€10–20","Marienstraße 34","Stuttgart","Arab restaurant","72","Not too busy"
"Sigma Taverna Inh. Evangelos Papadakis","4.5","579","€20–30","Stuttgarter Str. 45","Leinfelden-Echterdingen","Greek restaurant","73","Less busy than usual"
"Rose Tandoori Restaurant","4.6","142","€10–20","Hauptstraße 126","Esslingen","Indian restaurant","71","A little busy"
"Restaurant Multimar","4.1","66","€1–10","Am Robbenberg 1","Tönning","Restaurant","29",
"La Casa Restaurant & Lounge","4.9","147","€10–20","Nordbahnhofstraße 109","Stuttgart","Restaurant","69",
"Sangam Indisches Restaurant","4.6","820","€20–30","Gartenstraße 24","Sindelfingen","Indian restaurant","70","Not busy"
"Restaurant & Café Heimathafen","4.5","158","€20–30","Am Hafen 23","Tönning","Restaurant","24","Now: Usually not too busy"
"SW34 Restaurant","4.6","146","€20–30","Schelmenwasenstraße 34","Stuttgart","Restaurant","68",
"TA OS weinbar by Lausterer","4.5","485","$$","Bärenstraße 3","Stuttgart","Restaurant","66","Not too busy"
"Bulgogi Queen Korean BBQ Restaurant","4.2","1354","£££","Lautenschlagerstraße 3","Stuttgart","Korean restaurant","75","Busier than usual"
"Schlesinger Int.","4.5","445","€20–30","Schloßstraße 28","Stuttgart","Restaurant","65",
"FIDELIO Bistro & Restaurant","4.4","1013","€10–20","Weddingstedter Str. 5-7","Heide","Restaurant","30","Not busy"
"L'Osteria Stuttgart Mailänder Platz","3.9","3433","€10–20","Mailänder Platz 7","Stuttgart","Italian restaurant","62","Not too busy"
"Restaurant Armonia-Reichsstadt","4.6","482","€20–30","Rathauspl. 5","Esslingen","Restaurant","67",
"Tha Chang Stuttgart","4.6","176","€20–30","Böblinger Str. 46","Stuttgart","Thai restaurant","61","Now: Usually not too busy"
"DreamBurger Point","4.6","187","€10–20","Nordbahnhofstraße 91","Stuttgart","Hamburger restaurant","60","Now: Usually not too busy"
"Kashmir","4.6","2416","€20–30","Esslinger Str. 11","Leinfelden-Echterdingen","Indian restaurant","59","Not too busy"
"Restaurant Hasenstall","4.4","98","€10–20","Gewann 12","Stuttgart","Swabian restaurant","58",
"Restaurant & Biergarten ""Linde""","4.4","1611","€20–30","Im Spitzhau 13","Leinfelden-Echterdingen","Restaurant","63","Less busy than usual"
"DreamBurger Point","4.7","413","€10–20","Alte Stuttgarter Str. 82","Stuttgart","Hamburger restaurant","57","Not too busy"
"Corners","4.2","981","€10–20","Wettbachstraße 2","Sindelfingen","Hamburger restaurant","54","Not too busy"
"Tac Tac Tacos","3.9","345","€1–20","Marienstraße 24","Stuttgart","Restaurant","55",
"Ngon Deli - Vietnamese Home Cooking","4.4","145","€10–20","Daimlerstraße 69","Stuttgart","Vietnamese restaurant","53",
"Gaststätte Pfiff","4.4","389","€10–30","Bahnhofstraße 14","Stuttgart","Restaurant","52","Not busy"
"KOSTBAR Restaurant","4.4","1025","€20–30","Bruckwiesenstraße 1","Weinstadt","Restaurant","51","Busier than usual"
"Viertel Restaurant & Weinstube","4.6","207","€20–30","Schubartstraße 29","Stuttgart","Restaurant","49",
"Mauritius Restaurant Feuerbach","4.4","1218","€20–30","Stuttgarter Str. 107","Stuttgart","Restaurant","56","Not too busy"
"Saffron Indisches Restaurant","4.8","299","€20–30","Planiestraße 20","Sindelfingen","Indian restaurant","47","Not busy"
"Rodizio Brasil Heide","4.4","483","€20–30","Meldorfer Str. 34","Heide","Brazilian restaurant","20","Now: Usually not too busy"
"Restaurant Finch im Waldhotel Stuttgart","4.3","99","€100+","Guts-Muths-Weg 18","Stuttgart","Restaurant","64",
"Croatia Spezialitäten Restaurant","4.6","585","€20–30","Schuhmacherort 24","Heide","Croatian restaurant","19","Not too busy"
"Café & Bistro Am Markt","4.6","216","€10–20","Markt 4","Heide","Cafe","18",
"Nesenbach Brauhaus & Eventlocation - Stuttgart","4.4","934","€20–30","Dorotheenstraße 6","Stuttgart","Restaurant","45","A little busy"
"Restaurant Distelfarm Stuttgart","4.3","1312","€20–30","Paul-Hahn-Weg 10","Stuttgart","German restaurant","44","Less busy than usual"
"Wirtshaus Garbe","4.5","2230","££","Filderhauptstraße 136","Stuttgart","German restaurant","46","Not too busy"
"Ratatouille Nordhastedt","4.1","326","€10–20","Heider Str. 3","Nordhastedt","Bistro","16","Now: Usually not too busy"
"Mo's Kitchen","4.4","100","€10–30","Schuhmacherort 2","Heide","Restaurant","15",
"Cafe Annabella","4.7","857","€10–20","Friedrichstraße 38","Heide","Cafe","14","Not busy"
"Mannschaftsheim Heide","4.2","12","€10–20","Hamburger Str. 162","Heide","Restaurant","13",
"Restaurant meridian Heide","4.4","23","€20–30","Österstraße 18","Heide","Restaurant","12",
"Struve's Gasthof",,"0",,"Mittelstraße 2","Delve","Family restaurant","17",
"Korfu","4.7","1505","€20–30","Nordstrander Str. 8","Heide","Greek restaurant","10","Not too busy"
"Zur Sattlerei","4.1","876","€20–30","Lammgasse 1","Stuttgart","Swabian restaurant","48","A little busy"
"Emmas küche","5","3",,"Markt 4","Heide","Arab restaurant","7",
"Rahn's Gasthof","4.8","88",,"Beekstraße 9","Erfde","Restaurant","8",
"Schützenhof Schlicht","4.7","58",,"Hauptstraße 30","Schalkholz","Restaurant","6",
"Landgasthof Dörplinger Krog","4.7","103",,"Hauptstraße 8","Dörpling","Wedding venue","4",
"Restaurant Am Wasserturm","4.5","1498","€20–30","Brahmsstraße 1","Heide","Restaurant","9","Not too busy"
"Kitchen Bio Restaurant Böblingen","4.2","1004","€20–30","Charles-Lindbergh-Straße 7","Böblingen","Restaurant","40","A little busy"
"MTV Sportheim","4.3","70","€20–30","Am Sportpl. 1","Heide","Restaurant","1",
"Food Code","4.2","147","€10–20","Bahnhofstraße 2c","Heide","Arab restaurant","2","Now: Usually not too busy"
"Eisbombe","4.5","74","€1–10","Landstraße 2","Erfde","Sundae restaurant","5",
"BURREATOS","4.3","1282","€10–20","Hospitalstraße 19","Stuttgart","Burrito restaurant","37","Busier than usual"
"Bosporus Grill & Restaurant","4.6","55","€10–20","Leonberger Str. 97","Leonberg","Restaurant","38",
"Pho Boeuf Restaurant","4.8","41","€10–20","Mailänder Platz 5","Stuttgart","Vietnamese restaurant","36",
"Viet Green Restaurant | Köstliche vietnamesische Spezialitäten & Sushi | Glutamatfrei | Vegan & glutenfrei","4.6","689","€20–30","Katzenbachstraße 46","Stuttgart","Restaurant","31","Not busy"
"Oggi","4.2","1999","€20–40","Kleiner Schloßplatz 11","Stuttgart","Italian restaurant","19",
"Viet Wok","4.6","710","€10–20","Kronenstraße 45","Stuttgart","Vietnamese restaurant","18","Not too busy"
"FELLAS","4.9","120","€10–20","Schuhmacherort 15","Heide","Bar","3",
"MARKTPIRAT Heide","4.4","2594","€10–20","Markt 25","Heide","Restaurant","11","Not too busy"
"Hanoi Restaurant","4.9","309","€20–30","Neckarstraße 162","Stuttgart","Vietnamese restaurant","17","Less busy than usual"
"Mozart3","4.5","295","€40–50","Mozartstraße 3","Stuttgart","Restaurant","14","Now: Usually not busy"
"AMADEUS Restaurant & Bar","4.2","1938","€20–30","Charlottenpl. 17","Stuttgart","Restaurant","15","Not too busy"
"Gasthaus Bären","4.5","1742","€20–30","Paulinenstraße 45","Stuttgart","Swabian restaurant","20","Not too busy"
"Stuttgarter Ratskeller","4.1","801","€20–40","Marktpl. 1","Stuttgart","Restaurant","12","Busier than usual"
"NOA Restaurant / Frühstück","4.5","1224","€20–30","Tübinger Str. 10","Stuttgart","Restaurant","9","Not busy"
"Bocca Buona Restaurant","3.7","185",,"Hauptstätter Str. 147","Stuttgart","Restaurant","10","Now: Usually a little busy"
